PuzzleId,Rating,Themes,OpeningFamily,Solved
0009B,1088,advantage middlegame short,Kings_Pawn_Game,True
000rO,1039,crushing endgame fork short,nan,True
001Wz,1128,backRankMate endgame mate mateIn2 short,nan,False
001gi,1013,bodenMate hangingPiece mate mateIn1 middlegame oneMove,Sicilian_Defense,True
001om,991,mate mateIn2 middlegame short,nan,True
001wr,941,advantage fork master masterVsMaster middlegame short,Pirc_Defense,True
001xl,1026,advantage endgame master masterVsMaster short skewer superGM,nan,True
002Cw,1149,crushing discoveredAttack endgame short,nan,False
0039T,1186,crushing defensiveMove endgame long rookEndgame skewer,nan,True
003Jb,1010,advantage fork middlegame short,nan,True
003eP,1138,crushing exposedKing long middlegame skewer,nan,False
003jH,1140,crushing fork long middlegame,nan,True
003jb,995,crushing fork middlegame short,French_Defense,True
003jv,986,crushing endgame fork short,nan,False
003o0,1073,advantage fork master opening short,nan,True
0042j,673,backRankMate mate mateIn2 middlegame short,nan,True
0048h,1099,crushing endgame exposedKing long rookEndgame,nan,False
004LZ,1165,advancedPawn crushing defensiveMove deflection endgame long promotion,nan,False
004X6,1176,endgame mate mateIn2 short,nan,True
004iZ,1005,kingsideAttack mate mateIn1 middlegame oneMove,nan,True
004nd,898,crushing fork middlegame short,nan,False
0050w,942,crushing endgame fork long,nan,False
005N7,689,backRankMate endgame hangingPiece mate mateIn2 short,nan,True
0061g,773,endgame mate mateIn2 short,nan,True
006HV,1161,endgame mate mateIn2 short,nan,True
006yP,806,crushing endgame master rookEndgame short skewer,nan,True
0070J,984,advantage hangingPiece middlegame short,Caro-Kann_Defense,True
007Rn,994,endgame mate mateIn2 short,nan,True
007XE,822,backRankMate fork mate mateIn2 middlegame short,Kings_Pawn_Game,True
007eS,1149,advantage endgame short,nan,True
0088O,1121,crushing deflection endgame short,nan,False
008GK,613,backRankMate endgame mate mateIn2 short,nan,True
008Nz,684,backRankMate mate mateIn1 middlegame oneMove,nan,True
008P4,769,crushing endgame fork short,nan,False
008o6,1149,endgame mate mateIn1 oneMove,nan,True
008oX,974,endgame mate mateIn2 short,nan,False
008tL,1044,advancedPawn crushing endgame master rookEndgame short,nan,False
0092z,1070,endgame mate mateIn2 short,nan,True
009IO,1174,hookMate mate mateIn2 middlegame short,nan,False
009L0,706,backRankMate hangingPiece mate mateIn1 middlegame oneMove,nan,True
009Wc,944,crushing middlegame short,Caro-Kann_Defense,True
009f8,1183,endgame mate mateIn2 short,nan,False
009lk,1186,mate mateIn2 middlegame short,nan,True
009tE,717,crushing endgame fork short,nan,True
00A5v,715,crushing endgame short,nan,True
00AB1,1099,crushing endgame short skewer,nan,False
00Aae,1019,advancedPawn clearance crushing endgame long promotion rookEndgame,nan,False
00Af3,1102,advancedPawn bishopEndgame crushing endgame short,nan,False
00AoZ,1130,advantage deflection endgame short,nan,False
00Bm8,1127,endgame master mate mateIn1 oneMove,nan,True
00Bn4,648,crushing endgame fork short,nan,True
00C7m,838,endgame mate mateIn1 oneMove rookEndgame,nan,True
00CtS,1120,endgame mate mateIn2 short,nan,True
00DEc,1092,crushing discoveredAttack endgame short,nan,False
00DPQ,761,kingsideAttack mate mateIn1 middlegame oneMove,nan,False
00DTg,1046,crushing discoveredAttack kingsideAttack middlegame short,Ruy_Lopez,True
00Dt6,1174,crushing endgame pin short,nan,True
00EBZ,918,crushing endgame fork short,nan,False
00Ec4,829,crushing middlegame short,nan,False
00EoE,957,crushing endgame short skewer,nan,True
00Evs,900,advantage fork middlegame short,nan,False
00F2o,1077,endgame mate mateIn2 short,nan,False
00FHX,684,endgame hangingPiece mate mateIn1 oneMove,nan,True
00FON,1010,crushing endgame knightEndgame short,nan,False
00Fyu,977,advantage discoveredAttack middlegame short,Bird_Opening,True
00GRa,609,kingsideAttack mate mateIn1 middlegame oneMove,nan,True
00Gt0,1053,crushing discoveredAttack endgame master short,nan,False
00HEh,1074,kingsideAttack mate mateIn2 middlegame sacrifice short,nan,True
00HPz,1075,endgame mate mateIn1 oneMove,nan,True
00Htd,890,crushing intermezzo opening short,nan,False
00Hxb,1126,endgame mate mateIn1 oneMove,nan,True
00HzH,1158,endgame hookMate mate mateIn2 short,nan,True
00ICz,1187,crushing long middlegame skewer,nan,False
00ISm,907,crushing endgame fork short,nan,False
00IYH,1025,advantage kingsideAttack opening short,nan,False
00IaZ,926,endgame master mate mateIn1 oneMove rookEndgame,nan,True
00J7i,1000,endgame master masterVsMaster mate mateIn1 oneMove,nan,True
00JO7,990,endgame mate mateIn1 oneMove,nan,True
00JQS,600,backRankMate endgame mate mateIn2 short,nan,False
00JS1,600,endgame mate mateIn2 short,nan,True
00K0G,747,crushing endgame fork master short,nan,False
00KMV,1016,crushing middlegame short skewer,nan,False
00KOz,979,crushing endgame master short skewer,nan,True
00KVO,837,crushing endgame short,nan,True
00KVb,1019,endgame hangingPiece mate mateIn2 short,nan,True
00KYE,942,kingsideAttack mate mateIn1 middlegame oneMove,Italian_Game,True
00Keu,978,endgame mate mateIn2 short,nan,True
00L4x,1137,advancedPawn crushing kingsideAttack middlegame promotion short,nan,False
00M6i,1150,crushing endgame fork short,nan,True
00MS3,824,backRankMate mate mateIn2 middlegame short,French_Defense,False
00MWz,802,crushing endgame quietMove short,nan,False
00NOI,966,backRankMate endgame mate mateIn2 short,nan,False
00Nej,1048,crushing endgame fork long,nan,False
00O9a,809,backRankMate long mate mateIn3 middlegame sacrifice,nan,True
00OOp,987,endgame mate mateIn2 short,nan,False
00OPk,757,endgame mate mateIn1 oneMove,nan,True
00OXc,1033,endgame mate mateIn1 oneMove,nan,True
00Ozz,869,endgame mate mateIn1 oneMove,nan,True
